task,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,inner_cv_balanced_accuracy_mean
healthy_vs_infected,2000,0.01,3,2.0,1.0,0.7,20.0,0.1,0.0,1.0,0.807348901098901
healthy_vs_infected,500,0.03,4,1.0,1.0,0.5,1.0,0.1,0.5,1.0,0.7510989010989011
healthy_vs_infected,2000,0.01,5,1.0,1.0,0.3,1.0,0.0,0.0,1.0,0.731456043956044
healthy_vs_infected,1000,0.01,4,2.0,0.85,0.5,1.0,1.0,0.0,1.5,0.7153846153846155
healthy_vs_infected,1500,0.01,2,2.0,0.85,0.7,1.0,0.1,0.0,1.5,0.7153846153846155
healthy_vs_infected,1500,0.01,5,2.0,1.0,1.0,1.0,1.0,2.0,1.5,0.7064560439560441
healthy_vs_infected,1500,0.005,4,2.0,1.0,0.7,1.0,0.1,1.0,1.0,0.706456043956044
healthy_vs_infected,500,0.005,4,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.7037774725274726
healthy_vs_infected,2000,0.03,4,1.0,1.0,0.3,1.0,0.5,2.0,1.5,0.7035714285714285
healthy_vs_infected,500,0.01,5,2.0,1.0,0.5,5.0,0.0,1.0,1.0,0.6975274725274725
healthy_vs_infected,1000,0.01,5,1.0,1.0,0.7,5.0,0.1,0.5,1.0,0.6975274725274725
healthy_vs_infected,1000,0.05,3,2.0,1.0,0.7,1.0,0.1,0.5,1.5,0.6912774725274726
healthy_vs_infected,1500,0.03,3,2.0,0.85,0.7,1.0,0.0,2.0,1.5,0.6841346153846154
healthy_vs_infected,2000,0.01,2,2.0,1.0,0.3,5.0,0.0,1.0,1.5,0.681456043956044
healthy_vs_infected,2000,0.01,4,1.0,1.0,0.3,10.0,0.0,0.0,1.5,0.6752060439560441
healthy_vs_infected,1500,0.03,2,2.0,0.7,0.7,5.0,0.5,0.5,1.0,0.6725274725274726
healthy_vs_infected,1000,0.01,5,1.0,1.0,1.0,5.0,0.0,2.0,1.5,0.6662774725274725
healthy_vs_infected,500,0.03,5,1.0,1.0,1.0,5.0,0.1,2.0,1.0,0.6662774725274725
healthy_vs_infected,2000,0.005,2,1.0,0.85,0.3,5.0,0.1,0.5,1.5,0.650206043956044
healthy_vs_infected,2000,0.05,5,2.0,0.85,1.0,5.0,0.1,1.0,1.5,0.643956043956044
healthy_vs_infected,1000,0.05,5,1.0,0.7,0.7,10.0,0.1,1.0,1.0,0.6375
healthy_vs_infected,2000,0.01,5,2.0,0.7,0.3,1.0,1.0,0.0,1.0,0.6375
healthy_vs_infected,1500,0.01,4,1.0,0.7,0.7,1.0,0.0,1.0,1.5,0.618956043956044
healthy_vs_infected,2000,0.005,5,1.0,1.0,0.7,5.0,1.0,0.5,1.0,0.618956043956044
healthy_vs_infected,2000,0.01,4,2.0,1.0,0.7,20.0,0.1,1.0,1.0,0.612706043956044
healthy_vs_infected,500,0.05,5,2.0,0.7,1.0,10.0,0.1,0.0,1.0,0.6125
healthy_vs_infected,500,0.05,2,2.0,1.0,1.0,5.0,1.0,1.0,1.5,0.6100274725274726
healthy_vs_infected,500,0.01,4,2.0,0.85,0.3,1.0,1.0,2.0,1.5,0.6035714285714286
healthy_vs_infected,2000,0.01,3,1.0,0.5,1.0,5.0,0.1,2.0,1.0,0.6035714285714286
healthy_vs_infected,1500,0.005,5,2.0,0.7,0.3,5.0,0.0,0.0,1.5,0.6028846153846155
healthy_vs_infected,500,0.01,5,1.0,0.5,0.7,1.0,0.5,0.5,1.0,0.6008928571428571
healthy_vs_infected,1500,0.03,2,2.0,0.7,0.7,10.0,0.5,1.0,1.0,0.5946428571428571
healthy_vs_infected,500,0.05,3,1.0,0.5,0.5,5.0,0.0,1.0,1.0,0.5939560439560441
healthy_vs_infected,1000,0.05,4,1.0,0.5,0.3,1.0,0.0,1.0,1.5,0.5939560439560441
healthy_vs_infected,500,0.005,5,2.0,0.7,0.3,1.0,0.1,2.0,1.0,0.5875
healthy_vs_infected,1500,0.03,5,2.0,0.5,0.7,1.0,1.0,1.0,1.5,0.5875
healthy_vs_infected,1000,0.01,5,1.0,1.0,0.7,5.0,1.0,2.0,1.0,0.5723214285714286
healthy_vs_infected,1000,0.05,3,2.0,0.85,1.0,20.0,0.5,1.0,1.0,0.5689560439560439
healthy_vs_infected,1000,0.01,3,1.0,0.85,0.7,10.0,0.0,1.0,1.5,0.556456043956044
healthy_vs_infected,1500,0.01,4,2.0,0.7,0.5,20.0,1.0,0.0,1.0,0.55625
healthy_vs_infected,1000,0.01,5,1.0,0.5,0.3,5.0,0.0,1.0,1.0,0.55
healthy_vs_infected,1000,0.01,3,1.0,1.0,0.7,20.0,0.0,0.0,1.0,0.5473214285714286
healthy_vs_infected,500,0.03,2,2.0,1.0,1.0,20.0,0.5,1.0,1.0,0.5403846153846155
healthy_vs_infected,500,0.05,3,2.0,0.5,0.3,1.0,0.0,0.5,1.0,0.5403846153846155
healthy_vs_infected,2000,0.05,4,2.0,0.85,1.0,20.0,0.0,2.0,1.5,0.525
healthy_vs_infected,500,0.05,5,1.0,0.5,0.7,10.0,0.5,1.0,1.5,0.5223214285714286
healthy_vs_infected,500,0.05,4,2.0,0.5,0.7,1.0,1.0,1.0,1.5,0.5160714285714286
healthy_vs_infected,1000,0.005,4,1.0,1.0,1.0,20.0,5.0,2.0,1.0,0.5
healthy_vs_infected,2000,0.005,5,8.0,0.7,0.5,5.0,0.5,1.0,1.0,0.5
healthy_vs_infected,1500,0.03,3,1.0,0.85,0.3,5.0,5.0,0.5,1.5,0.5
healthy_vs_infected,500,0.05,3,8.0,0.5,0.5,20.0,0.1,2.0,1.0,0.5
healthy_vs_infected,1000,0.005,3,2.0,0.85,1.0,1.0,5.0,0.5,1.5,0.5
healthy_vs_infected,1000,0.01,5,8.0,1.0,0.7,10.0,5.0,2.0,1.5,0.5
healthy_vs_infected,500,0.01,2,2.0,0.85,0.7,20.0,0.0,1.0,1.0,0.5
healthy_vs_infected,2000,0.01,4,4.0,0.85,0.3,10.0,0.5,0.0,1.5,0.5
healthy_vs_infected,1000,0.03,4,8.0,0.85,1.0,10.0,0.5,0.0,1.5,0.5
healthy_vs_infected,1000,0.03,5,4.0,0.85,0.7,20.0,1.0,1.0,1.0,0.5
healthy_vs_infected,2000,0.05,3,4.0,0.85,0.5,10.0,1.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.01,3,8.0,1.0,1.0,20.0,0.1,1.0,1.5,0.5
healthy_vs_infected,2000,0.005,3,4.0,0.5,1.0,1.0,0.1,0.5,1.0,0.5
healthy_vs_infected,500,0.05,3,2.0,1.0,0.7,10.0,5.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.03,5,4.0,1.0,1.0,20.0,5.0,1.0,1.0,0.5
healthy_vs_infected,500,0.005,5,4.0,1.0,1.0,1.0,5.0,0.5,1.5,0.5
healthy_vs_infected,1000,0.03,3,8.0,1.0,0.7,5.0,1.0,0.0,1.0,0.5
healthy_vs_infected,1500,0.01,3,4.0,1.0,0.7,20.0,5.0,2.0,1.5,0.5
healthy_vs_infected,2000,0.03,3,8.0,0.5,0.3,10.0,0.0,2.0,1.5,0.5
healthy_vs_infected,2000,0.03,5,8.0,0.85,0.3,5.0,5.0,2.0,1.0,0.5
healthy_vs_infected,500,0.01,2,4.0,0.5,0.3,20.0,0.0,0.5,1.5,0.5
healthy_vs_infected,1500,0.05,2,4.0,1.0,0.5,10.0,0.0,0.5,1.0,0.5
healthy_vs_infected,1000,0.01,2,8.0,0.7,0.7,1.0,0.5,2.0,1.5,0.5
healthy_vs_infected,500,0.005,4,1.0,0.85,0.3,20.0,0.0,1.0,1.0,0.5
healthy_vs_infected,500,0.005,5,2.0,0.7,1.0,20.0,1.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.05,2,1.0,0.7,0.7,5.0,5.0,0.0,1.0,0.5
healthy_vs_infected,1500,0.01,4,8.0,0.5,0.3,20.0,0.0,2.0,1.5,0.5
healthy_vs_infected,2000,0.05,4,4.0,0.7,0.7,1.0,0.1,1.0,1.5,0.5
healthy_vs_infected,1500,0.05,3,2.0,0.7,0.5,5.0,5.0,1.0,1.5,0.5
healthy_vs_infected,1000,0.01,5,8.0,0.85,0.7,10.0,1.0,0.0,1.0,0.5
healthy_vs_infected,500,0.05,5,4.0,0.5,0.3,1.0,0.5,0.0,1.5,0.5
healthy_vs_infected,500,0.03,4,4.0,0.5,0.5,1.0,0.1,0.5,1.0,0.5
healthy_vs_infected,1000,0.01,3,4.0,1.0,0.7,1.0,5.0,0.0,1.0,0.5
healthy_vs_infected,1500,0.03,5,4.0,0.5,0.7,10.0,1.0,0.0,1.0,0.5
healthy_vs_infected,1000,0.005,3,8.0,0.7,0.3,5.0,0.5,0.5,1.0,0.5
healthy_vs_infected,1500,0.005,5,8.0,0.5,0.5,5.0,1.0,2.0,1.0,0.5
healthy_vs_infected,500,0.005,2,8.0,0.7,0.5,5.0,1.0,2.0,1.0,0.5
healthy_vs_infected,1000,0.03,3,4.0,0.7,0.7,10.0,0.5,2.0,1.0,0.5
healthy_vs_infected,500,0.01,2,1.0,0.5,0.7,10.0,5.0,0.5,1.0,0.5
healthy_vs_infected,1500,0.01,5,4.0,0.7,1.0,5.0,0.5,2.0,1.5,0.5
healthy_vs_infected,500,0.05,4,2.0,0.5,0.3,10.0,0.5,0.5,1.5,0.5
healthy_vs_infected,1000,0.05,5,1.0,0.85,0.7,10.0,5.0,0.5,1.0,0.5
healthy_vs_infected,1000,0.03,4,4.0,1.0,0.5,20.0,0.0,0.5,1.5,0.5
healthy_vs_infected,1000,0.03,4,8.0,1.0,1.0,10.0,0.5,2.0,1.5,0.5
healthy_vs_infected,1000,0.005,2,4.0,0.85,0.5,5.0,0.0,2.0,1.0,0.5
healthy_vs_infected,2000,0.05,2,4.0,1.0,0.3,10.0,0.0,2.0,1.5,0.5
healthy_vs_infected,500,0.01,5,2.0,0.5,0.3,20.0,5.0,0.0,1.0,0.5
healthy_vs_infected,1000,0.005,2,1.0,0.7,0.3,20.0,0.5,1.0,1.5,0.5
healthy_vs_infected,2000,0.05,3,8.0,0.5,1.0,1.0,0.1,1.0,1.0,0.5
healthy_vs_infected,2000,0.01,2,4.0,0.7,1.0,1.0,0.0,0.5,1.0,0.5
healthy_vs_infected,500,0.005,5,8.0,0.7,0.7,20.0,0.1,0.5,1.5,0.5
healthy_vs_infected,1000,0.05,5,8.0,0.7,0.5,5.0,1.0,0.0,1.0,0.5
healthy_vs_infected,500,0.005,5,4.0,0.7,0.3,10.0,1.0,0.5,1.0,0.5
healthy_vs_infected,2000,0.03,2,4.0,0.85,0.3,1.0,0.5,2.0,1.0,0.5
healthy_vs_infected,500,0.005,2,8.0,0.7,1.0,1.0,0.5,0.5,1.0,0.5
healthy_vs_infected,1500,0.01,2,4.0,0.85,0.7,1.0,0.5,2.0,1.5,0.5
healthy_vs_infected,2000,0.01,3,4.0,0.7,0.7,10.0,1.0,0.5,1.5,0.5
healthy_vs_infected,1000,0.05,5,2.0,1.0,1.0,1.0,5.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.005,5,4.0,0.85,0.5,20.0,0.1,0.0,1.5,0.5
healthy_vs_infected,2000,0.005,5,1.0,0.7,0.5,10.0,5.0,2.0,1.0,0.5
healthy_vs_infected,1500,0.01,2,2.0,0.5,0.7,20.0,5.0,0.5,1.5,0.5
healthy_vs_infected,1000,0.005,3,4.0,0.5,1.0,20.0,0.0,1.0,1.0,0.5
healthy_vs_infected,500,0.005,4,1.0,0.5,0.5,20.0,0.5,2.0,1.5,0.5
healthy_vs_infected,2000,0.05,5,4.0,0.85,0.3,20.0,1.0,0.0,1.0,0.5
healthy_vs_infected,1500,0.05,5,2.0,0.5,1.0,20.0,0.1,2.0,1.0,0.5
healthy_vs_infected,500,0.01,2,1.0,0.5,0.3,5.0,0.5,2.0,1.5,0.5
healthy_vs_infected,1500,0.03,3,4.0,0.7,0.5,5.0,0.5,1.0,1.5,0.5
healthy_vs_infected,2000,0.01,5,2.0,0.85,0.3,10.0,5.0,2.0,1.0,0.5
healthy_vs_infected,1500,0.05,3,4.0,1.0,0.5,5.0,0.0,1.0,1.0,0.5
healthy_vs_infected,2000,0.03,3,2.0,0.5,1.0,1.0,5.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.01,4,4.0,1.0,0.7,5.0,0.0,1.0,1.0,0.5
healthy_vs_infected,1000,0.05,2,8.0,0.7,0.3,1.0,0.0,0.5,1.5,0.5
healthy_vs_infected,1500,0.005,3,8.0,1.0,0.7,10.0,0.0,0.5,1.0,0.5
healthy_vs_infected,1500,0.03,5,8.0,0.5,0.3,1.0,1.0,1.0,1.0,0.5
healthy_vs_infected,1000,0.005,4,8.0,0.7,0.7,10.0,0.0,0.0,1.0,0.5
healthy_vs_infected,2000,0.05,3,8.0,0.5,0.7,1.0,1.0,0.0,1.5,0.5
healthy_vs_infected,2000,0.005,4,8.0,0.5,0.5,10.0,1.0,0.5,1.0,0.5
healthy_vs_infected,2000,0.05,3,4.0,0.85,1.0,1.0,1.0,2.0,1.0,0.5
healthy_vs_infected,1000,0.03,2,2.0,0.85,1.0,20.0,5.0,2.0,1.5,0.5
healthy_vs_infected,500,0.005,4,4.0,0.85,0.3,5.0,0.5,1.0,1.5,0.5
healthy_vs_infected,2000,0.005,5,1.0,0.7,0.5,20.0,0.1,1.0,1.5,0.5
healthy_vs_infected,1000,0.005,4,2.0,1.0,1.0,20.0,5.0,0.5,1.5,0.5
healthy_vs_infected,500,0.03,5,4.0,1.0,0.3,1.0,0.5,0.5,1.0,0.5
healthy_vs_infected,1500,0.005,5,8.0,0.85,1.0,20.0,0.0,1.0,1.0,0.5
healthy_vs_infected,1000,0.05,5,8.0,1.0,1.0,20.0,1.0,0.0,1.5,0.5
healthy_vs_infected,1000,0.03,5,4.0,1.0,0.5,5.0,0.5,2.0,1.0,0.5
healthy_vs_infected,1000,0.03,3,8.0,0.5,0.7,5.0,0.1,1.0,1.0,0.5
healthy_vs_infected,2000,0.05,4,8.0,1.0,0.5,10.0,0.5,0.0,1.5,0.5
healthy_vs_infected,500,0.005,4,4.0,0.7,1.0,1.0,0.0,0.0,1.5,0.5
healthy_vs_infected,1000,0.03,2,1.0,0.7,0.3,20.0,5.0,1.0,1.0,0.5
healthy_vs_infected,2000,0.005,5,2.0,0.5,1.0,5.0,1.0,1.0,1.5,0.5
healthy_vs_infected,2000,0.03,5,8.0,1.0,0.3,5.0,5.0,1.0,1.0,0.5
healthy_vs_infected,2000,0.05,2,4.0,0.85,0.3,5.0,0.5,0.5,1.0,0.5
healthy_vs_infected,2000,0.05,4,4.0,0.7,0.5,10.0,0.5,2.0,1.0,0.5
healthy_vs_infected,500,0.05,2,1.0,0.5,0.5,10.0,5.0,0.5,1.5,0.5
healthy_vs_infected,1500,0.01,3,4.0,0.85,0.7,20.0,0.0,0.5,1.0,0.5
healthy_vs_infected,500,0.03,2,4.0,1.0,0.5,5.0,0.1,0.0,1.5,0.5
healthy_vs_infected,1000,0.01,4,8.0,0.5,0.7,5.0,1.0,0.5,1.5,0.5
healthy_vs_infected,2000,0.01,2,8.0,0.85,0.5,10.0,5.0,0.0,1.5,0.5
healthy_vs_infected,1000,0.005,5,4.0,0.7,0.7,10.0,0.1,1.0,1.5,0.5
healthy_vs_infected,1500,0.03,2,4.0,1.0,0.3,5.0,1.0,0.5,1.0,0.5
healthy_vs_infected,2000,0.05,2,8.0,0.85,1.0,10.0,5.0,2.0,1.0,0.5
healthy_vs_infected,2000,0.01,3,4.0,0.7,0.7,5.0,1.0,0.0,1.0,0.5
healthy_vs_infected,2000,0.005,5,2.0,0.85,0.5,5.0,5.0,2.0,1.5,0.5
healthy_vs_infected,2000,0.005,3,8.0,0.7,0.5,1.0,0.0,0.0,1.0,0.5
healthy_vs_infected,1500,0.01,5,2.0,1.0,1.0,10.0,5.0,0.5,1.0,0.5
healthy_vs_infected,500,0.01,2,2.0,0.85,0.5,10.0,5.0,2.0,1.0,0.5
healthy_vs_infected,2000,0.05,4,2.0,0.7,0.3,10.0,5.0,0.5,1.5,0.5
healthy_vs_infected,500,0.03,3,4.0,0.85,0.3,1.0,0.0,2.0,1.0,0.5
healthy_vs_infected,500,0.005,3,8.0,0.85,0.7,5.0,0.1,2.0,1.0,0.5
healthy_vs_infected,500,0.03,3,8.0,0.7,0.5,10.0,1.0,0.0,1.5,0.5
healthy_vs_infected,2000,0.005,5,1.0,1.0,1.0,20.0,5.0,2.0,1.5,0.5
healthy_vs_infected,1500,0.01,4,4.0,0.7,1.0,1.0,1.0,2.0,1.0,0.5
